Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
Milk,Drink,3,organic nonfat milk,1 cup,90 cal,130 mg,12 g,0 g,9 g,milk,no,U.S.A.,0
Hummus,Fridge,10,Cooked organic chickpeas,30 g,80,120 mg,6g,5g,2g,Sesame,no,U.S.A.,1
Graham crackers,Snack,12,Organic whole wheat flour,31 g,130,130 mg,24g,3g,2g,"wheat, milk, soy",no,U.S.A.,4
Cannellini beans,Canned/Dried,3,organic prepared cannellini beans,130 g,100,110 mg,19 g,0g,6g,,no,U.S.A.,2
Raw shrimp,Freezer,2,raw shrimp,113 g,80,220 mg,0g,0.5g,19g,shrimp,no,U.S.A.,1
Garbanzos,Canned/Dried,3,Organic prepared garbanzos (chickpeas),1/2 cup,120,85mg,20g,2g,6g,None,No,U.S.A.,2
Sparkling Strawberry Juice,Drink,5,Strawberry juice,1 can (250 mL),60,0mg,16g,0g,0g,None,No,Vietnam,3
Cheese Ravioli,Freezer,19,Organic ricotta cheese,1 cup,260,510mg,31g,11g,11g,"Egg, milk, wheat",No,U.S.A.,3
Thin-Sliced Organic Bread,Fridge,36,Organic whole weat,1 slice,60,105mg,14g,1g,3g,Wheat,No,U.S.A.,3
Popcorn,Snack,3,Popcorn,3 3/4 cups,150,75mg,15g,10g,2g,None,No,U.S.A.,4
Ketchup,Fridge,6,Organic Tomato Purée,17 g,20 Cal,160 mg,4 g,0 g,0 g,N/A,No,U.S.A.,3
Nature Valley Crunchy Granola Bars,Snack,10,Whole Grain Oats,42 g,190 Cal,140 mg,29 g,7 g,3 g,"soy, peanut, almond, pecan",Yes,U.S.A.,4
Dino Nuggets,Freezer,17,Boneless Skinless Chicken ,76 g,180 Cal,260 mg,13 g,10 g,9 g,wheat,No,Canada,5
Milk,Drink,5,Organic Milk,240 mL,140 Cal,140 mg,13 g,5 g,10 g,milk,No,U.S.A.,1
Dried Apricots,Canned/Dried,1,Organic Dried Apricots ,40 g,130 Cal,0 mg,31 g,0 g,1 g,N/A,No,Turkey,1
Great Northern Beans,Canned/Dried,3,Organic Great Northern Beans,1/2 cup,110,40 mg,20 g,0.5 g,5 g,none,No,"Clinton, Michigan",2
Dried Mango,Snack,1,Dried Mango,4 pieces,130,0 mg,32 g,0 g,<1 g,none,Yes,Mexico,1
Kvass,Drink,12,Biotic Raw Kvass,1 bottle,20,140 mg,4 g,0 g,0 g,none,No,California,1
Broth,Fridge,3,Filtered Water,8 fl oz,50,150 mg,0 g,0 g,13 g,none,Yes,California,1
Frozen Blueberries,Freezer,1,Organic Blueberries,1 cup,70,0 mg,17 g,1 g,<1 g,none,No,Texas,2
Hint Sparkling Water,Drink,2,Purified water,474 mL,0 Cal,0 mg,0 g,0 g,0 g,N/A,No,U.S.A.,1
Canned Tomatoes,Canned/Dried,5,Organic Tomatoes,120 g,25 Cal,220 mg,5 g,0 g,1 g,N/A,No,U.S.A.,2
Roasted Chestnuts,Snack,1,Organic Roasted Chestnut Kernels,50 g,100 Cal,0 mg,17 g,0.5 g,2 g,nuts,No,China,1
Beijing Yogurt (Matcha),Fridge,7,Cultured Pasteurized Milk,176 g,120 Cal,70 mg,22 g,5 g,4 g,milk,No,U.S.A.,3
Sweet Rice Balls,Freezer,3,Sweet Rice,99 g,250 Cal,5 mg,51 g,3 g,3 g,N/A,No,U.S.A.,2
 yogurt,Fridge,1,yogurt,125g,140cal,60mg,11g,4.5g,13g,yogurt,no,USA,1
nesquick,Drink,8,cacoa,13g,150cal,135mg,24g,2.5g,9g,milk and wheat,yes,switzerland,4
bloks,Snack,16,tapioca syrup,30g,100cal,50mg,24g,0g,0g,caffeine,yes,USA,4
gogo squirts,Snack,4,apple,90g,70cal,0mg,16g,0g,0g,apple,no,USA,2
pretzel crackers,Snack,6,Enriched Wheat Flour,28g,110cal,270mg,24g,0g,2g,wheat,yes,USA,
Tru Fru (Chocolate Covered Strawberries),Freezer,6,Strawberries,1 oz,90 Cal,15 mg,10 g,5 g,1 g,Milk and soy,No,,
Organic Valley Cream Cheese,Fridge,6,Organic Pasturized Milk,2 tbsp,110 Cal,100 mg,2 g,10 g,2 g,None,No,,
Veggie Crisps,Snack,7,Rice Flour,1 package,130 Cal,140 mg,19 g,5 g,3 g,None,No,,
