Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
Lemonade,Drink,4,Filtered Water,9 fl oz,110,20 mg,29 g,0g,0g,None,No,"Apoka, FL",2
Red Machine Naked Juice,Fridge,14,Apple Juice From Concentrate,15.2 Fl Oz,270 Cal,25 mg,56 g,4 g,4 g,N/A,No,U.S.A.,2
Gatorade(Cool Blue),Drink,12,Water,591 ml,140 Cal,270 mg,36 g, 0 g,0 g,none,Yes,U.S.A.,4
Häagen-Dazs,Freezer,5,Cream,90g,210 Cal,45 mg,20 g,8 g,3 g,Skim milk and cane sugar,No,"Tilloy-lès-Mofflaines, France",3
Sour Cream,Fridge,1,Cultured Cream,30 g,60 Cal,15 mg,1 g,5 g,1 g,milk,Yes,U.S.A.,2
Doritos Dinamita(Flamin hot),Snack,50+,Corn,1 package,170 Cal,160 mg,20 g,9 g,2 g,dairy,Yes,Mexico,5
Capri Sun fruit punch,Drink,6,Apple,177ml,90,25mg,20g,0g,0g,none,No,Germany,4
Beijing Yogurt (Matcha),Fridge,7,Cultured Pasteurized Milk,176 g,120 Cal,70 mg,22 g,5 g,4 g,milk,No,U.S.A.,3
Cuttlefish Ball,Freezer,14,Cuttlefish,20 g,31.6 Cal,165.6 mg,2.3 g,1.7 g,1.8 g,"fish, molluscs, soy, egg, milk",No,Thailand,5
Organic Almond Milk,Fridge,14,"Organic Almond Base (water, organic almonds)",240 mL,30 Cal,110 mg,1 g,3 g,1 g,Almonds,No,U.S.A.,2
Beans,Canned/Dried,6,Prepared dark red kidney beans,130g,110 cal,370mg,20g,0g,7g,n/a,no,USA,2
Smart food popcorn,Snack,8,Popcorn,1 package,160 Cal,200 mg,15 g,10 g,3 g,Milk,Yes,U.S.A.,3
Plain Greek Yogurt,Fridge,6,Pasteurized Grade A Milk,170g (3/4 cup),170,80 mg,6 g,14 g,7 g,Milk,No,USA,2
Coca Cola,Drink,6,Carbonated Water,20 fl oz,240,75 mg,65 mg,0 g,0 g,n/a,No,USA,5
