,Item Name,What kind of item is it?,Total number of ingredients,Name of first (main) ingredient,Serving Size,Calories per serving,Total Sodium,Total Carbohydrates,Total Fat,Total Protein,What allergens does it contain?,Does it contain GMO crops?,Where was it made?,"How Processed is it?
(see instructions for ranking)"
0,lemonade,1,4.0,filtered water,9 ,110,20 ,29 ,0,0,none,0.0,"apoka, fl",2.0
1,red machine naked juice,2,14.0,apple juice from concentrate,15.2,270 ,25 ,56 ,4 ,4 ,none,0.0,usa,2.0
2,gatorade(cool blue),1,12.0,water,591 ,140 ,270 ,36 ,,0 ,none,1.0,usa,4.0
3,häagen-dazs,2,5.0,cream,90,210 ,45 ,20 ,8 ,3 ,skim milk and cane sugar,0.0,"tilloy-lès-mofflaines, france",3.0
4,sour cream,2,1.0,cultured cream,30 ,60 ,15 ,1 ,5 ,1 ,milk,1.0,usa,2.0
5,doritos dinamita(flamin hot),3,none,corn,1 ,170 ,160 ,20 ,9 ,2 ,dairy,1.0,mexico,5.0
6,capri sun fruit punch,1,6.0,apple,177,90,25,20,0,0,none,0.0,germany,4.0
7,beijing yogurt (matcha),2,7.0,cultured pasteurized milk,176 ,120 ,70 ,22 ,5 ,4 ,milk,0.0,usa,3.0
8,cuttlefish ball,2,14.0,cuttlefish,20 ,31.6,165.6,2.3,1.7,1.8,"fish, molluscs, soy, egg, milk",0.0,thailand,5.0
9,organic almond milk,2,14.0,"organic almond base (water, organic almonds)",240 ,30 ,110 ,1 ,3 ,1 ,almonds,0.0,usa,2.0
10,beans,4,6.0,prepared dark red kidney beans,130,110 ,370,20,0,7,none,0.0,usa,2.0
11,smart food popcorn,3,8.0,popcorn,1 ,160 ,200 ,15 ,10 ,3 ,milk,1.0,usa,3.0
12,plain greek yogurt,2,6.0,pasteurized grade a milk,170,170,80 ,6 ,14 ,7 ,milk,0.0,usa,2.0
13,coca cola,1,6.0,carbonated water,20 ,240,75 ,65 ,0 ,0 ,none,0.0,usa,5.0
14,coconut water,1,1.0,organic coconut water,328 ,50,130 ,13 ,0 ,0 ,none,0.0,vietnam,0.0
15,yogurt drink,1,14.0,organic cultured low fat milk,296,180,25,28,3,9,milk,0.0,usa,2.0
16,peas,2,1.0,green peas,85 ,70,0,12,0,4,none,0.0,none,none
17,freeze dried strawberries,4,1.0,freeze dried strawberries,1 ,130 ,5 ,29 ,,2 ,none,0.0,usa,1.5
18,nature valley,3,16.0,whole grain oats,42,90,160,29,6,4,peanuts,1.0,usa,3.0
19,strawberries,2,1.0,whole strawberries,140 ,45 ,0 ,11 ,0 ,,none,none,usa,2.0
20,gatorade (zero),1,10.0,water,355 ,0 ,160 ,,,0 ,red 40 and blue 1,0.0,usa,none
21,garbanzos,4,3.0,organic prepared garbanzos (chickpeas),1/2,120,85,20,2,6,none,0.0,usa,2.0
22,clovis farms organic super smoothie,2,6.0,berries,227,100 ,25 ,24,1,3,fruit,0.0,usa,1.0
23,ice cream bars,2,17.0,cream,78 ,280 ,40 ,,21 ,4 ,"almonds, milk, soy, egg",1.0,usa,4.0
24,strawberry yogurt,2,10.0,cultured reduced fatmilk,150,120,50,11,3,12,milk,0.0,us,3.0
25,poppi strawberry lemon prebiotic soda,1,8.0,sparkling water,12 ,25 ,0 ,7 ,0 ,0 ,none,0.0,usa,3.0
26,bagel bites,2,35.0,wheat flour,88 ,190 ,410 ,27 ,6 ,7 ,"wheat, milk",1.0,usa,5.0
27,spindrift ,1,4.0,carbonated water,1 ,12,0,3,0,0,none ,0.0,us,3.0
28,yogurt,3,4.0,strained yogurt,150,180 ,40,28,2.5,12,milk,0.0,usa,4.0
29, gf pasta (pre-made),4,5.0,rice flour,56 ,190 ,0,44,1 ,4,none,1.0,usa,4.0
30,none,4,5.0,water,86,190,40,42,0,4,none,0.0,japan,2.0
31,cheese stick,2,1.0,low moisture part-skim mozzarella cheese,28,80 ,200,1,6,6,milk,0.0,usa,3.0
32,strawberry mochi,2,12.0,nonfat milk,192,470,60,80,14,6,"milk, egg",0.0,usa,4.0
33,mini pizza bagels,2,none,bagel,84 ,200 ,1140 ,58 ,15 ,22 ,dairy,0.0,usa,3.0
34,coke zero,1,10.0,carbonated water,1 ,0,40 ,0,0,0,phenylalanine,0.0,usa,5.0
35,raspberry sorbet,2,6.0,raspberries,131 ,150 ,0 ,38 ,0.5,,none,0.0,usa,none
36,dried mango,3,1.0,dried mango,4 ,130,0 ,32 ,0 ,,none,1.0,mexico,1.0
37,coconut milk,4,3.0,organic coconut ,80 ,120,30 ,1 ,12 ,,coconut,0.0,vietnam,2.0
38,arizona iced tea,1,17.0,carbonated filtered water,12 ,120,0 ,30 ,0 ,0 ,none,0.0,usa,4.0
39,none,2,6.0,pasteurized milk,96,200,50,20,11,4,milk,0.0,usa,2.0
40,frozen edamame,2,1.0,soybeans,75,110,0,10,4,9,soybean,1.0,taiwan,2.0
41,garbanzo beans,4,5.0,garbanzo beans,1/2,90,140 ,16 ,0.5,5 ,none,0.0,usa,2.0
42,kimchi,2,11.0,radish,28 ,10 ,240 ,2 ,0 ,1 ,"fish, crustacean",0.0,south korea,3.0
43,carrot ginger turmeric juice,1,4.0,carrot juice,240,80,90,17,0,2,?,0.0,usa,1.0
